address,categories/0,city,countryCode,isAdvertisement,isLocalGuide,name,publishAt,publishedAtDate,stars,text,totalScore,language,sentiment
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,True,altamash ik,a month ago,2024-09-01T15:27:09.519Z,5.0,"The mosque's design is a blend of modern and traditional Islamic architecture, with a striking white and blue exterior.",4.1,en,POSITIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,True,Nazim Opu,3 months ago,2024-06-28T21:19:45.041Z,5.0,Stunning views of the Red sea.,4.6,en,POSITIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,True,S C,5 months ago,2024-04-11T20:52:01.439Z,5.0,"Al Rahman Mosque on Jeddah's Corniche is a must-visit destination for its stunning architecture, beautiful location, and spiritual significance.",4.6,en,POSITIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,True,Saleemuddin Ahmed,3 months ago,2024-06-23T18:27:15.629Z,5.0,The beautiful mosque and the surrounding sea view and beach side cafe are excellent 👌I love to watch the sunset from the walkway along the Beach side restaurant,4.6,en,POSITIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,False,Farhat Shaikh,6 months ago,2024-04-01T12:43:11.469Z,5.0,"Absolutely Stunning island like mosque built in Jeddah. We arrived around 4 pm and were lucky to catch the sunset, beautiful surroundings with mini kiosk that sell foods such as pizza, turkish food, wraps and coffe.",4.6,en,POSITIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,False,Mahim Kamalee,5 months ago,2024-04-09T18:58:20.488Z,5.0,,4.6,unknown,POSITIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,True,Wakas Alvi,4 months ago,2024-05-05T17:08:47.692Z,5.0,Family friendly area with great playgrounds for kids and you can hire scooters to ride as you explore the shore.,4.6,en,POSITIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,True,Naz N,8 months ago,2024-01-12T01:38:30.419Z,5.0,,4.6,unknown,POSITIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,True,Suhel Shaikh,2 months ago,2024-07-29T12:10:33.661Z,5.0,Also they have a free golf cart service but mind you it does not take you very far.,4.6,en,NEGATIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,True,Nour,6 months ago,2024-03-05T18:52:46.889Z,5.0,Amazing floating mosque. Beautiful architecture. Best views at sunset. Must visit.,4.6,en,POSITIVE
"J4X2+C9C, Ash Shati، طريق الكورنيش، حي الشاطئ، Saudi Arabia",Mosque,Jeddah,SA,False,True,Amd Kagera,4 days ago,2024-09-28T15:41:08.890Z,5.0,Very beautiful mosque. Perfect place to visit with family. We went here for iftar and it was a amazing experience. The jeddah promenade next to it has lots of fun activities and beautiful decorations. Would definitely visit again.,4.6,en,POSITIVE
