islocalguide,name,stars,text,totalscore,year,month,day,stars_normalized,totalscore_normalized,categories_Animal park,categories_Aquarium,categories_Beach,categories_Cultural center,categories_Event venue,categories_Heritage preservation,categories_Historical landmark,categories_Mosque,categories_Mountain peak,categories_NaN,categories_Park,categories_Resort hotel,categories_Restaurant,categories_Seasonal goods store,categories_Shopping mall,categories_Theme park,categories_Tourist attraction,city_Dhahran,city_Jeddah,city_NaN,city_Neom,city_Riyadh
1,Shabbir Husain,5.0,"Awesome experience of Bujairi terrace, a rich heritage and culture of Saudi Arabia in serene settings, lush green gardens, and a natural environment.

It has lots of beautiful high-end fine dining restaurants and cafes.

Come explore with your friends and family.",4.6,2024.0,8.0,25.0,1.0,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,Kaptain Guzzy,4.0,"Lovely collection of restaurants, eateries and gift shops opposite At-Turaif/Diriyah historical site. Serene and beautiful in the evening and night when the whole area is all lit up. Romantic even! Definitely worth eating at or simply relaxing over a coffee in the evenings. Note that to get into the site (the same ticket for entry into both the Bujari Terrace and the site - as you get to the historical site VIA Bujairi Terrace) is free if you book your ticket before 5pm; after that it is SAR 50 (but you can use this against anything you eat at any of the restaurants at the Terrace).",4.6,2024.0,9.0,28.0,0.6000000000000001,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,M-S Shaikh,5.0,"Bujairi Al-Turaif is a very luxurious restaurant and guest house located in Diriyah, near the Diriyah World Heritage Site. Both the restaurant and the heritage site share a nearby gate for entry. It is an incredibly beautiful and luxurious place, and I've had a great experience every time I've visited. I've been there multiple times, and each visit offers a new experience. It's a wonderful place, perfect for spending time and attending events. I really enjoy going there; it’s always a delightful experience.

Diriyah Al-Turaif is a very important and historic place for Saudi Arabia. It is the site where the foundation of Saudi Arabia was laid in 1727, and since then, the Al Saud family has ruled the country. Diriyah holds great significance not only for the Saudi government but also for the Saudi public and the people. It is a place that must always be preserved and cherished, and it will always be remembered as a landmark of historical importance.",4.6,2024.0,9.0,23.0,1.0,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,Joferd Pineda,5.0,"A great place to enjoy the peaceful nature specially during Sunday and monday as its less crowded. The place is filled with cafes, restaurants and food stalls to choose from. Sitting next to it is Diriyah which is the foundation of the kingdom. One of the UNESCO world heritage.

You have to book an entrance ticket to enter the area which cost 50SAR per person which you can redeem on any establishment youll spend money from.",4.6,2024.0,9.0,29.0,1.0,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,Afif Chougle,5.0,Amazing experience! We had lots of fun walking the entire path and viewing the historical artifacts. Wonderful insight into the oldest part of Saudi Arabia and it's history. Will definitely visit again.,4.6,2024.0,9.0,22.0,1.0,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,Amrita Nair,5.0,"What an amazing place to visit to immerse yourself in the beauty of Saudi.Surrounded by lush green gardens it feels like an oasis. Visited before 5 pm and i didn’t have to pay for any entry ticket. This place has multiple cafés on both sides. There is a museum showing the rich heritage of Saudi, camel museum, few other small museums to enjoy,  huge forts to walk around & enjoy the beauty of this place. Tour guides are also available for a detailed orientation. Felt blessed to witness the sunset too. Could be uncomfortable to visit during summer but is a perfect spot anytime to visit during winters. Team is super helpful, sweet and so welcoming ! Must visit place when in Saudi.",4.6,2024.0,5.0,15.0,1.0,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,Dhay S,4.0,"Such good, romantic atmosphere. Went here for dinner in winter and we loved it! Just a bit sad that you have to pay now to access but still the beauty of the whole area makes it worth it. The parking space is also not too far from Bujairi which I was a bit worried about before going there. Plus points for being able to access At-Turaif World Heritage Site. I would highly recommend visiting here during the fall or winter season, especially in the evenings.",4.6,2024.0,7.0,1.0,0.6000000000000001,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,Byron,5.0,"Diriyah and Bujairi are definitely a must-visit. They exude historical charm and offer a traditional atmosphere. This place is amazing in every detail. There is an entrance fee after 5pm, which can be redeemed at any restaurant there. Avoid booking tickets directly from the restaurants, as you will not have the choice to use your ticket at other restaurants. There are two parking lots located 10 minutes away, within walking distance from the entrance. It is a must-visit destination!",4.6,2024.0,4.0,23.0,1.0,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,Isa Ali,5.0,"Bujairi Terrace is a must-visit, especially on a beautiful day! The views are absolutely stunning, with the perfect blend of historic charm and modern luxury. The outdoor seating lets you soak in the incredible scenery while enjoying delicious food. Service was excellent, and the ambiance was peaceful yet vibrant. It's a great spot to unwind, whether for a casual coffee or a full meal. Highly recommended if you're looking for a memorable experience in Riyadh!",4.6,2024.0,9.0,14.0,1.0,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,Silvia Pfeiffer,5.0,It's an excellent location to learn about Saudi history and see some of the ways in which traditional buildings have been built. There are also amazing restaurants. It's a great place to go late afternoon and sirens a couple of hours before having dinner.,4.6,2024.0,5.0,10.0,1.0,0.8571428571428568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
